장르,공연건수,상연횟수,취소수,총 티켓판매수,총 티켓판매액,예매수,날짜
뮤지컬,378,2491,13256,23152,986267050,36408,20230901
뮤지컬,362,2256,10047,14749,677645190,24796,20230902
뮤지컬,352,2191,9187,10425,556345350,19612,20230903
뮤지컬,340,2282,11087,15076,594985290,26163,20230904
뮤지컬,337,2357,12895,19524,945929184,32419,20230905
뮤지컬,347,2337,13944,21530,1432925642,35474,20230906
뮤지컬,366,2446,17726,29021,1627984370,46747,20230907
뮤지컬,377,2502,16923,27698,1844490172,44621,20230908
뮤지컬,360,2346,10176,15319,914475135,25495,20230909
뮤지컬,338,2211,9021,13179,732452660,22200,20230910
뮤지컬,326,2242,10995,11752,646807090,22747,20230911
뮤지컬,347,2327,14515,24436,1886416090,38951,20230912
뮤지컬,345,2343,18369,27102,1960392370,45471,20230913
뮤지컬,358,2390,15465,19714,1298262730,35179,20230914
뮤지컬,377,2542,15789,26589,1332506772,42378,20230915
뮤지컬,368,2373,12344,14477,848946800,26821,20230916
뮤지컬,356,2285,9709,12797,699976680,22506,20230917
뮤지컬,341,2348,12454,24414,1955218892,36868,20230918
뮤지컬,353,2448,18017,29534,2561856490,47551,20230919
뮤지컬,372,2518,14559,20023,1204111660,34582,20230920
뮤지컬,360,2535,15181,25220,1572141150,40401,20230921
뮤지컬,385,2624,13922,25180,1199406570,39102,20230922
뮤지컬,371,2417,13885,12961,844022100,26846,20230923
뮤지컬,357,2320,11564,9642,684206200,21206,20230924
뮤지컬,367,2450,16671,21117,1063011378,37788,20230925
뮤지컬,362,2530,21970,29692,2181179710,51662,20230926
뮤지컬,371,2549,14244,32771,1371602972,47015,20230927
뮤지컬,356,2302,9283,13094,779665030,22377,20230928
뮤지컬,330,2112,7297,9210,550108600,16507,20230929
뮤지컬,336,2218,10443,13184,567658320,23627,20230930
뮤지컬,357,2242,8591,12588,601676900,21179,20231001
뮤지컬,349,2185,7252,29678,503141940,36930,20231002
뮤지컬,375,2273,10844,11465,517057930,22309,20231003
뮤지컬,389,2407,12355,19780,1021330470,32135,20231004
뮤지컬,410,2499,16357,28732,1341350832,45089,20231005
뮤지컬,411,2553,21774,37730,2949327362,59504,20231006
뮤지컬,395,2388,13122,15017,962431041,28139,20231007
뮤지컬,366,2225,12954,13872,702755410,26826,20231008
뮤지컬,364,2136,10429,11241,606130402,21670,20231009
뮤지컬,386,2294,13400,17680,980228835,31080,20231010
뮤지컬,418,2481,17866,32435,2959221130,50301,20231011
뮤지컬,421,2512,23413,39550,3376883950,62963,20231012
뮤지컬,427,2534,22356,26380,1590061932,48736,20231013
뮤지컬,423,2368,14462,17467,968031512,31929,20231014
뮤지컬,399,2276,12678,13052,762224962,25730,20231015
뮤지컬,404,2351,12254,17279,902939562,29533,20231016
뮤지컬,427,2458,16140,25049,1028407962,41189,20231017
뮤지컬,453,2598,16909,21412,935726004,38321,20231018
뮤지컬,445,2638,18431,28220,1105240860,46651,20231019
뮤지컬,460,2628,17984,27036,1888052610,45020,20231020
뮤지컬,447,2416,13904,11392,812852362,25296,20231021
뮤지컬,441,2319,10373,10781,729764577,21154,20231022
뮤지컬,421,2486,10207,18542,1102587500,28749,20231023
뮤지컬,455,2676,12773,24959,1491834030,37732,20231024
뮤지컬,464,2728,14264,31429,1274848425,45693,20231025
뮤지컬,464,2776,17280,43288,2409880770,60568,20231026
뮤지컬,475,2760,16917,28906,1130268790,45823,20231027
뮤지컬,471,2608,13560,13386,712154200,26946,20231028
뮤지컬,440,2488,8769,11498,635012730,20267,20231029
뮤지컬,437,2602,11788,20136,847754070,31924,20231030
뮤지컬,451,2613,11727,18192,930115950,29919,20231031
뮤지컬,456,2779,12230,22436,1342085960,34666,20231101
뮤지컬,464,2749,16030,28477,1634520520,44507,20231102
뮤지컬,476,2826,13636,25827,1248997902,39463,20231103
뮤지컬,456,2581,9790,14923,712696272,24713,20231104
뮤지컬,435,2479,8491,11781,649388060,20272,20231105
뮤지컬,456,2679,11523,19822,893914082,31345,20231106
뮤지컬,440,2755,13409,41439,1193197254,54848,20231107
뮤지컬,454,2814,15296,23254,981645382,38550,20231108
뮤지컬,461,2810,17376,30619,1317983736,47995,20231109
뮤지컬,491,3090,15574,36391,2377377556,51965,20231110
뮤지컬,461,2818,10831,16909,913876351,27740,20231111
뮤지컬,449,2716,10770,14773,724751177,25543,20231112
뮤지컬,433,2726,11558,13609,763369718,25167,20231113
뮤지컬,467,2952,15269,23691,1108935596,38960,20231114
뮤지컬,466,3041,16643,27982,1795379728,44625,20231115
뮤지컬,458,2985,23019,28996,2005522475,52015,20231116
뮤지컬,483,3055,15081,26931,1433668276,42012,20231117
뮤지컬,479,2872,9863,16638,873995015,26501,20231118
뮤지컬,455,2775,8402,16059,868337013,24461,20231119
뮤지컬,443,3061,15393,23602,1322606585,38995,20231120
뮤지컬,471,3150,24606,68389,5857614612,92995,20231121
뮤지컬,462,3258,19572,38796,2575367591,58368,20231122
뮤지컬,467,3286,24241,36837,2598700676,61078,20231123
뮤지컬,477,3270,16283,25342,1527146474,41625,20231124
뮤지컬,467,3041,13077,18866,1062757204,31943,20231125
뮤지컬,437,2965,10088,17813,1062670532,27901,20231126
뮤지컬,420,3108,14718,31607,1113230246,46325,20231127
