날짜,스트레스,성장,게임,운동
2024-07-14,16.4497,6.92307,73.90532,48.75739
2024-07-15,21.59763,8.34319,59.17159,50.35502
2024-07-16,22.4852,8.99408,60.4142,49.40828
2024-07-17,23.37278,8.40236,65.50295,48.81656
2024-07-18,23.96449,7.92899,59.52662,41.95266
2024-07-19,20.35502,8.28402,66.62721,41.42011
2024-07-20,15.6213,5.2071,77.2781,38.99408
2024-07-21,17.33727,6.98224,71.59763,45.26627
2024-07-22,22.54437,8.04733,61.36094,52.72189
2024-07-23,22.36686,8.93491,62.4852,46.62721
2024-07-24,21.47928,10.05917,64.91124,44.26035
2024-07-25,21.53846,8.69822,62.36686,48.75739
2024-07-26,19.94082,8.16568,64.14201,40.0
2024-07-27,17.10059,5.56213,78.81656,40.35502
2024-07-28,17.63313,4.31952,72.36686,46.8639
2024-07-29,18.22485,8.69822,68.34319,46.92307
2024-07-30,20.65088,8.46153,66.09467,43.72781
2024-07-31,16.4497,7.33727,68.28402,45.02958
2024-08-01,19.46745,7.21893,71.06508,43.90532
2024-08-02,17.57396,5.73964,69.88165,35.6213
2024-08-03,14.26035,4.55621,83.43195,39.46745
2024-08-04,16.27218,5.26627,70.88757,43.60946
2024-08-05,20.65088,8.1065,67.92899,48.69822
2024-08-06,20.0,7.45562,69.58579,50.53254
2024-08-07,19.40828,8.04733,67.33727,45.91715
2024-08-08,19.17159,7.63313,67.51479,44.85207
2024-08-09,21.18343,6.62721,72.4852,40.59171
2024-08-10,17.21893,5.14792,78.69822,41.2426
2024-08-11,15.32544,5.2071,75.44378,47.39644
2024-08-12,20.8284,7.04142,58.93491,51.00591
2024-08-13,20.76923,7.6923,67.81065,48.22485
2024-08-14,21.30177,6.74556,68.69822,43.66863
2024-08-15,19.11242,6.50887,72.60355,47.86982
2024-08-16,18.99408,5.6213,73.49112,43.37278
2024-08-17,15.79881,5.44378,76.98224,47.10059
2024-08-18,15.68047,6.98224,72.13017,49.82248
2024-08-19,21.71597,8.69822,61.59763,52.95857
2024-08-20,26.4497,8.1065,65.26627,50.23668
2024-08-21,22.72189,7.04142,64.55621,48.75739
2024-08-22,25.73964,7.63313,62.24852,45.6213
2024-08-23,23.3136,8.1065,61.47928,42.30769
2024-08-24,17.92899,5.14792,80.53254,38.81656
2024-08-25,15.50295,6.50887,67.2781,47.81065
2024-08-26,23.72781,7.63313,55.97633,56.0355
2024-08-27,23.43195,8.22485,60.11834,54.02366
2024-08-28,24.73372,16.21301,62.24852,45.08875
2024-08-29,22.8994,7.75147,59.40828,46.09467
2024-08-30,23.3136,7.63313,64.31952,38.34319
2024-08-31,15.44378,7.04142,77.86982,40.8284
2024-09-01,15.91715,5.79881,71.42011,45.38461
2024-09-02,27.39644,8.40236,57.75147,56.21301
2024-09-03,27.75147,10.11834,59.58579,53.37278
2024-09-04,28.22485,9.17159,59.58579,49.58579
2024-09-05,25.14792,10.17751,59.58579,46.33136
2024-09-06,23.55029,8.81656,67.98816,40.65088
2024-09-07,16.33136,6.68639,86.39053,37.15976
2024-09-08,17.81065,6.39053,77.21893,43.37278
2024-09-09,23.78698,9.64497,58.93491,49.11242
2024-09-10,24.26035,8.46153,64.55621,46.62721
2024-09-11,23.84615,8.28402,72.13017,42.36686
2024-09-12,24.08284,7.45562,65.50295,39.52662
2024-09-13,19.70414,8.28402,68.22485,33.01775
2024-09-14,15.91715,5.02958,82.95857,30.65088
2024-09-15,15.6213,5.38461,92.95857,30.11834
2024-09-16,12.8994,3.84615,96.92307,31.95266
2024-09-17,14.49704,4.43786,100.0,33.60946
2024-09-18,16.98224,5.08875,79.82248,41.83431
2024-09-19,21.30177,8.99408,64.26035,47.51479
2024-09-20,21.18343,8.1065,69.05325,42.95857
2024-09-21,15.68047,6.4497,74.73372,36.0355
2024-09-22,18.04733,6.68639,73.13609,41.77514
2024-09-23,24.67455,8.34319,62.8994,49.64497
2024-09-24,28.52071,7.45562,56.92307,43.66863
2024-09-25,24.02366,7.39644,58.22485,43.07692
2024-09-26,23.84615,8.22485,56.98224,42.01183
2024-09-27,23.19526,6.68639,62.13017,41.42011
2024-09-28,17.86982,5.32544,77.45562,34.31952
2024-09-29,19.76331,5.6213,71.71597,40.0
2024-09-30,21.00591,8.22485,62.13017,42.95857
2024-10-01,16.74556,6.62721,70.76923,41.36094
2024-10-02,19.05325,6.33136,64.37869,37.63313
2024-10-03,17.10059,5.68047,74.20118,40.53254
2024-10-04,17.45562,6.4497,78.57988,35.56213
2024-10-05,15.08875,4.02366,78.22485,31.2426
2024-10-06,15.73964,6.74556,85.56213,39.76331
2024-10-07,21.71597,7.98816,67.10059,43.78698
2024-10-08,21.6568,7.10059,63.25443,41.2426
2024-10-09,20.17751,8.28402,76.50887,36.8639
2024-10-10,23.07692,8.99408,58.81656,40.0
2024-10-11,21.42011,9.40828,55.73964,34.85207
2024-10-12,15.79881,7.6923,77.39644,33.07692
2024-10-13,17.57396,7.86982,73.60946,40.4142
2024-10-14,21.59763,9.34911,62.01183,44.02366
2024-10-15,22.8994,9.82248,57.86982,43.43195
2024-10-16,22.24852,10.35502,58.81656,40.05917
2024-10-17,20.71005,9.17159,61.47928,36.8639
2024-10-18,19.88165,7.98816,67.86982,27.86982
2024-10-19,17.63313,6.56804,76.80473,35.32544
2024-10-20,15.08875,7.45562,70.4142,37.10059
2024-10-21,20.65088,10.8284,55.6213,42.18934
2024-10-22,20.23668,11.47928,60.71005,41.42011
2024-10-23,23.55029,8.87573,57.33727,38.1065
2024-10-24,22.13017,8.99408,64.67455,36.09467
2024-10-25,21.12426,8.57988,66.0355,35.08875
2024-10-26,14.97041,7.57396,80.35502,34.43786
2024-10-27,17.15976,7.51479,73.07692,39.94082
2024-10-28,24.20118,9.40828,67.21893,45.02958
2024-10-29,23.49112,11.95266,61.36094,41.47928
2024-10-30,25.6213,8.69822,57.81065,59.52662
2024-10-31,22.78106,9.58579,62.01183,33.43195
2024-11-01,20.65088,7.6923,63.78698,35.26627
2024-11-02,15.26627,5.38461,83.37278,32.84023
2024-11-03,15.14792,8.16568,78.87573,34.55621
2024-11-04,21.00591,9.17159,64.37869,46.8639
2024-11-05,21.36094,8.28402,66.27218,39.23076
2024-11-06,19.17159,9.82248,64.43786,36.92307
2024-11-07,21.59763,9.58579,66.15384,35.38461
2024-11-08,18.69822,7.21893,67.98816,29.82248
2024-11-09,15.44378,5.97633,82.13017,29.34911
2024-11-10,16.50887,6.98224,77.39644,36.27218
2024-11-11,22.30769,9.64497,60.23668,42.8994
2024-11-12,22.84023,9.23076,63.84615,38.1065
2024-11-13,21.47928,9.46745,64.85207,40.35502
2024-11-14,20.88757,8.57988,63.37278,37.92899
2024-11-15,22.72189,8.1065,76.09467,35.38461
2024-11-16,15.68047,6.09467,90.76923,32.95857
2024-11-17,15.38461,6.74556,82.78106,39.58579
2024-11-18,18.87573,8.1065,62.66272,38.93491
2024-11-19,20.35502,10.17751,65.91715,39.23076
2024-11-20,20.0,9.28994,63.60946,40.53254
2024-11-21,23.66863,8.16568,64.43786,35.6213
2024-11-22,18.63905,7.63313,59.64497,35.56213
2024-11-23,13.78698,6.15384,89.11242,26.0355
2024-11-24,16.4497,7.98816,81.36094,34.20118
2024-11-25,18.57988,8.28402,54.61538,38.63905
2024-11-26,21.36094,7.63313,61.95266,39.11242
2024-11-27,18.93491,7.75147,65.85798,33.13609
2024-11-28,21.30177,9.40828,68.28402,32.72189
2024-11-29,17.15976,7.98816,64.61538,30.47337
2024-11-30,13.66863,5.6213,82.4852,32.30769
2024-12-01,15.79881,7.04142,73.84615,35.26627
2024-12-02,21.47928,8.69822,61.36094,43.60946
2024-12-03,20.23668,8.22485,66.92307,36.98224
2024-12-04,19.94082,8.28402,70.29585,35.2071
2024-12-05,19.94082,7.63313,63.72781,35.6213
2024-12-06,17.33727,9.88165,68.75739,31.00591
2024-12-07,14.14201,4.61538,89.28994,29.76331
2024-12-08,13.96449,7.86982,83.19526,34.97041
2024-12-09,24.14201,9.58579,59.52662,37.81065
2024-12-10,18.22485,9.23076,67.86982,38.34319
2024-12-11,20.23668,8.28402,91.06508,36.39053
2024-12-12,21.00591,7.39644,65.08875,38.57988
2024-12-13,17.2781,6.27218,76.62721,31.36094
2024-12-14,13.25443,6.92307,92.4852,31.6568
2024-12-15,14.73372,6.33136,79.34911,35.44378
2024-12-16,19.88165,9.05325,67.2781,39.70414
2024-12-17,22.30769,10.17751,59.11242,40.65088
2024-12-18,18.57988,7.15976,62.071,38.16568
2024-12-19,18.1065,8.16568,64.73372,36.62721
2024-12-20,16.74556,6.50887,73.19526,30.88757
2024-12-21,13.55029,5.44378,90.47337,31.36094
2024-12-22,12.071,5.79881,80.4142,40.47337
2024-12-23,16.74556,8.87573,62.84023,35.2071
2024-12-24,14.02366,7.63313,66.8639,29.17159
2024-12-25,11.83431,5.85798,84.61538,31.71597
2024-12-26,12.18934,9.11242,70.71005,39.46745
2024-12-27,14.85207,7.21893,71.2426,33.78698
2024-12-28,11.77514,6.68639,79.58579,34.79289
2024-12-29,11.42011,6.4497,83.3136,36.33136
2024-12-30,13.43195,6.62721,65.56213,39.58579
2024-12-31,11.95266,11.71597,70.4142,35.26627
2025-01-01,13.19526,10.23668,79.40828,50.11834
2025-01-02,14.73372,10.71005,61.36094,56.50887
2025-01-03,15.26627,9.46745,66.21301,43.25443
2025-01-04,14.49704,7.2781,86.62721,41.95266
2025-01-05,13.90532,7.86982,77.33727,47.04142
2025-01-06,16.09467,8.34319,63.60946,50.11834
2025-01-07,14.91124,10.94674,62.36686,49.58579
2025-01-08,17.51479,7.63313,60.94674,45.32544
2025-01-09,15.38461,7.81065,70.0,39.58579
2025-01-10,14.08284,7.51479,70.23668,36.92307
2025-01-11,12.4852,6.15384,81.18343,38.69822
2025-01-12,12.54437,7.92899,82.72189,47.39644
2025-01-13,16.09467,8.46153,64.08284,50.4142
2025-01-14,19.64497,9.82248,67.63313,46.33136
2025-01-15,17.21893,8.75739,70.65088,39.05325
2025-01-16,18.28402,7.98816,66.98224,40.59171
2025-01-17,16.50887,9.46745,72.42603,38.04733
2025-01-18,13.78698,5.73964,88.40236,34.55621
2025-01-19,13.01775,5.85798,75.56213,36.4497
2025-01-20,19.28994,8.46153,67.51479,43.84615
2025-01-21,18.28402,8.46153,65.32544,42.18934
2025-01-22,19.40828,7.92899,68.22485,39.76331
2025-01-23,18.34319,7.92899,66.74556,36.15384
2025-01-24,15.26627,8.04733,71.12426,30.35502
2025-01-25,12.13017,5.2071,83.90532,30.65088
2025-01-26,14.37869,4.49704,84.20118,32.42603
2025-01-27,13.25443,4.79289,98.69822,30.53254
2025-01-28,10.4142,4.14201,93.72781,29.58579
2025-01-29,10.88757,4.08284,99.64497,32.01183
2025-01-30,10.94674,4.79289,77.57396,39.94082
2025-01-31,13.3136,6.4497,72.54437,42.8994
2025-02-01,13.66863,5.2071,74.79289,39.23076
2025-02-02,15.56213,6.4497,68.69822,50.35502
2025-02-03,15.56213,9.40828,59.58579,48.46153
2025-02-04,18.46153,7.75147,59.58579,47.6923
2025-02-05,16.74556,8.81656,64.20118,41.6568
2025-02-06,18.1065,9.64497,61.53846,39.05325
2025-02-07,16.33136,7.33727,67.33727,35.38461
2025-02-08,12.60355,4.49704,78.99408,38.52071
2025-02-09,13.78698,6.50887,83.13609,43.07692
2025-02-10,17.2781,8.63905,63.13609,46.4497
2025-02-11,17.04142,8.46153,68.69822,41.89349
2025-02-12,19.82248,8.1065,67.6923,41.71597
2025-02-13,18.81656,8.04733,65.2071,37.15976
2025-02-14,18.52071,8.63905,71.06508,32.30769
2025-02-15,16.21301,4.26035,82.54437,34.26035
2025-02-16,16.4497,7.33727,76.68639,41.71597
2025-02-17,17.98816,7.33727,67.10059,45.91715
2025-02-18,18.69822,7.92899,71.95266,41.71597
2025-02-19,18.87573,8.99408,70.0,40.76923
2025-02-20,22.30769,7.57396,73.72781,39.28994
2025-02-21,19.40828,8.63905,76.62721,31.6568
2025-02-22,15.44378,5.97633,83.43195,35.68047
2025-02-23,14.79289,5.50295,84.02366,40.35502
2025-02-24,18.63905,9.40828,65.91715,44.85207
2025-02-25,21.2426,8.04733,68.1065,42.54437
2025-02-26,21.00591,6.09467,68.1065,43.43195
2025-02-27,24.26035,8.22485,74.14201,39.23076
2025-02-28,18.81656,7.04142,80.71005,36.09467
2025-03-01,14.37869,5.85798,91.12426,36.92307
2025-03-02,16.27218,5.68047,86.21301,37.92899
2025-03-03,17.10059,6.80473,69.52662,48.28402
2025-03-04,20.94674,10.23668,67.33727,53.43195
2025-03-05,20.8284,11.00591,61.59763,47.63313
2025-03-06,20.94674,8.16568,58.40236,43.19526
2025-03-07,19.17159,5.32544,65.38461,37.39644
2025-03-08,16.50887,5.68047,82.60355,34.67455
2025-03-09,16.68639,7.45562,76.21301,46.21301
2025-03-10,21.71597,7.63313,58.04733,48.22485
2025-03-11,19.46745,8.93491,55.44378,49.94082
2025-03-12,22.18934,8.22485,59.94082,46.50887
2025-03-13,22.18934,9.40828,63.84615,42.13017
2025-03-14,19.70414,7.57396,64.08284,39.88165
2025-03-15,13.90532,4.85207,86.0355,40.59171
2025-03-16,16.74556,6.21301,80.88757,45.26627
2025-03-17,21.36094,10.11834,59.40828,48.16568
2025-03-18,22.30769,8.52071,64.31952,44.37869
2025-03-19,22.18934,8.63905,65.79881,42.95857
2025-03-20,20.94674,7.2781,58.93491,41.2426
2025-03-21,20.29585,7.63313,67.39644,35.68047
2025-03-22,16.27218,5.68047,86.56804,33.37278
2025-03-23,14.26035,6.09467,77.33727,40.59171
2025-03-24,19.58579,8.87573,63.72781,50.76923
2025-03-25,22.01183,7.86982,61.89349,41.53846
2025-03-26,21.00591,8.34319,60.23668,40.88757
2025-03-27,19.88165,7.92899,66.50887,36.8639
2025-03-28,19.05325,6.56804,67.39644,32.18934
2025-03-29,13.72781,4.55621,92.42603,29.88165
2025-03-30,15.97633,6.74556,74.73372,33.60946
2025-03-31,19.05325,8.04733,58.93491,38.52071
2025-04-01,17.6923,7.98816,56.68639,39.17159
2025-04-02,16.62721,8.81656,59.23076,39.17159
2025-04-03,18.75739,6.09467,68.57988,37.6923
2025-04-04,16.27218,5.50295,61.71597,35.6213
2025-04-05,14.67455,4.91124,86.39053,28.87573
2025-04-06,14.14201,7.81065,72.30769,35.85798
2025-04-07,19.40828,5.97633,57.86982,39.34911
2025-04-08,21.89349,6.33136,62.13017,41.47928
2025-04-09,21.18343,6.50887,60.29585,39.05325
2025-04-10,20.29585,7.33727,56.74556,35.32544
2025-04-11,16.50887,5.56213,70.59171,33.78698
2025-04-12,15.97633,5.26627,92.60355,32.54437
2025-04-13,12.60355,4.61538,78.52071,36.80473
2025-04-14,16.74556,7.21893,54.37869,40.59171
2025-04-15,20.29585,8.63905,55.14792,38.93491
2025-04-16,20.53254,6.68639,58.63905,38.87573
2025-04-17,19.76331,7.86982,59.23076,37.2781
2025-04-18,18.93491,6.4497,61.71597,31.12426
2025-04-19,14.43786,4.43786,92.8994,31.2426
2025-04-20,13.3136,5.08875,81.06508,36.74556
2025-04-21,19.17159,7.63313,54.14201,39.23076
2025-04-22,20.29585,6.09467,60.4142,36.92307
2025-04-23,20.05917,7.63313,57.98816,39.52662
2025-04-24,20.05917,7.21893,60.35502,34.43786
2025-04-25,17.33727,5.02958,63.55029,30.11834
2025-04-26,16.68639,4.49704,81.2426,27.63313
2025-04-27,14.02366,3.55029,77.51479,31.42011
2025-04-28,16.39053,6.21301,51.42011,34.43786
2025-04-29,20.59171,5.26627,55.32544,29.82248
2025-04-30,18.46153,5.85798,65.14792,31.89349
2025-05-01,16.92307,4.20118,83.49112,31.77514
2025-05-02,15.97633,5.38461,69.58579,35.02958
2025-05-03,13.78698,3.49112,89.17159,29.40828
2025-05-04,11.53846,3.13609,80.8284,28.63905
2025-05-05,13.72781,3.72781,87.33727,32.071
2025-05-06,13.78698,4.91124,73.3136,38.40236
2025-05-07,20.17751,5.68047,55.56213,39.52662
2025-05-08,18.04733,5.73964,60.29585,39.64497
2025-05-09,17.98816,4.97041,65.2071,31.18343
2025-05-10,14.85207,4.85207,84.67455,33.90532
2025-05-11,13.49112,4.14201,69.17159,33.90532
2025-05-12,21.18343,6.4497,54.43786,41.00591
2025-05-13,18.75739,6.27218,54.79289,37.81065
2025-05-14,21.59763,6.27218,55.91715,37.86982
2025-05-15,19.58579,8.46153,60.0,30.05917
2025-05-16,17.15976,5.2071,68.46153,30.11834
2025-05-17,14.61538,3.84615,87.2781,31.2426
2025-05-18,13.3136,5.32544,76.0355,32.72189
2025-05-19,18.81656,6.74556,55.68047,39.58579
2025-05-20,24.67455,5.56213,63.84615,38.22485
2025-05-21,22.18934,4.79289,61.6568,37.10059
2025-05-22,20.17751,5.38461,64.55621,37.45562
2025-05-23,16.39053,4.91124,68.69822,31.6568
2025-05-24,14.37869,4.31952,83.66863,28.99408
2025-05-25,14.55621,4.73372,71.53846,39.76331
2025-05-26,20.8284,5.26627,54.49704,45.50295
2025-05-27,20.8284,6.68639,58.81656,37.45562
2025-05-28,19.76331,5.85798,60.4142,35.32544
2025-05-29,18.04733,6.4497,58.63905,35.38461
2025-05-30,19.52662,4.79289,63.25443,31.18343
2025-05-31,13.49112,4.37869,85.38461,26.33136
2025-06-01,14.85207,4.55621,81.2426,34.91124
2025-06-02,17.51479,5.32544,64.79289,36.62721
2025-06-03,14.31952,3.90532,84.31952,35.44378
2025-06-04,17.86982,5.44378,58.52071,37.10059
2025-06-05,18.52071,5.56213,66.33136,32.66272
2025-06-06,12.66272,4.14201,80.94674,31.83431
2025-06-07,13.55029,3.49112,87.33727,29.94082
