날짜,스트레스,남편,자영업,남자친구,대출
2024-07-14,2.14385,1.2622,0.95775,2.65761,15.91399
2024-07-15,2.67664,1.73157,1.8394,1.42712,33.24876
2024-07-16,2.97475,1.52226,2.10579,1.50957,32.18952
2024-07-17,3.06355,1.7062,1.83305,1.67448,28.52974
2024-07-18,3.10161,1.7506,1.68083,1.4842,27.29925
2024-07-19,2.5371,1.55397,1.59203,1.49689,23.88684
2024-07-20,2.06774,1.21781,1.07192,1.61106,14.7152
2024-07-21,2.23265,1.26855,1.19243,1.573,15.83153
2024-07-22,2.91132,1.53494,1.86477,1.24318,33.33121
2024-07-23,2.90498,1.56031,1.74425,1.3066,30.02029
2024-07-24,2.72738,1.60471,1.50323,1.37637,29.56361
2024-07-25,2.89229,1.62374,1.32563,1.6174,30.10909
2024-07-26,2.57516,1.65546,1.45249,1.54763,26.00532
2024-07-27,2.21362,1.351,0.88164,1.71254,14.88646
2024-07-28,2.28973,1.46517,1.09729,1.63643,15.43194
2024-07-29,2.30242,1.59203,1.64277,1.47152,31.42839
2024-07-30,2.66396,1.4398,1.19878,1.31295,28.5234
2024-07-31,2.17556,1.6174,1.35735,1.4842,27.99695
2024-08-01,2.41659,1.30026,1.34466,1.40809,25.47253
2024-08-02,2.28973,1.28758,1.21146,1.26855,22.78954
2024-08-03,1.87745,1.19878,0.81821,1.86477,13.38957
2024-08-04,2.10579,1.28758,1.02118,1.82037,14.1063
2024-08-05,2.5815,1.33832,1.33198,10.0723,34.40314
2024-08-06,2.63858,1.47152,1.45249,5.03615,29.08156
2024-08-07,2.53076,1.40809,1.21146,4.43993,26.88062
2024-08-08,2.41024,1.4398,1.36369,2.83521,25.07928
2024-08-09,2.77813,1.51592,1.07826,1.84574,25.84041
2024-08-10,2.2263,1.28123,1.01484,4.57313,14.2839
2024-08-11,2.01065,1.38906,1.04021,2.28973,16.14867
2024-08-12,2.65127,1.573,1.49689,3.6788,34.5744
2024-08-13,2.63224,1.60471,1.42077,3.76125,33.03945
2024-08-14,2.73373,1.40175,1.33198,3.90714,28.97374
2024-08-15,2.4039,1.42712,1.28123,4.03399,18.32424
2024-08-16,2.49904,1.4398,1.351,1.77597,28.15552
2024-08-17,2.06139,1.38906,1.05289,1.80768,14.97526
2024-08-18,2.06139,1.351,1.02752,1.92819,15.97107
2024-08-19,2.77813,1.40809,1.93454,1.64911,34.49828
2024-08-20,3.57097,1.6174,1.97259,1.54129,34.49828
2024-08-21,2.96841,1.77597,1.76963,1.63643,35.10719
2024-08-22,3.31726,1.55397,1.63009,1.67448,32.66522
2024-08-23,2.98744,1.5286,1.4842,1.74425,29.48116
2024-08-24,2.39122,1.2622,1.19243,1.80134,17.42991
2024-08-25,2.11848,1.4398,1.38906,1.86477,18.23544
2024-08-26,3.02549,1.4842,2.15019,1.56031,41.95103
2024-08-27,3.00012,1.4842,1.76963,1.6618,39.41392
2024-08-28,3.18406,1.69351,1.46517,1.45883,35.04376
2024-08-29,2.94938,1.47786,1.4398,1.50323,32.60814
2024-08-30,3.01915,1.43346,1.30026,1.44614,27.92718
2024-08-31,2.18825,1.17341,1.08461,1.49054,16.42141
2024-09-01,2.18191,1.351,1.30026,1.351,21.1214
2024-09-02,3.57097,1.50957,1.87111,1.30026,47.48826
2024-09-03,3.60903,1.73791,1.8838,1.23049,41.71
2024-09-04,3.59634,1.77597,1.90282,1.28758,39.75009
2024-09-05,3.21578,1.64277,1.71888,1.20512,35.63998
2024-09-06,3.00012,1.37637,1.63009,1.31295,31.03513
2024-09-07,2.13116,1.31295,1.08461,1.42712,18.82532
2024-09-08,2.3151,1.23683,1.07826,1.66814,20.17632
2024-09-09,3.10161,1.78231,1.8394,1.28123,39.44564
2024-09-10,3.01281,1.58569,1.87111,1.34466,43.98706
2024-09-11,3.16503,1.54763,1.6618,1.63643,35.72878
2024-09-12,3.01915,1.7062,1.3066,1.51592,30.64823
2024-09-13,2.4927,1.43346,1.30026,1.33198,24.9334
2024-09-14,1.96625,1.09095,0.96409,1.4398,14.68983
2024-09-15,2.01065,1.01484,0.89432,1.38906,13.11049
2024-09-16,1.69351,1.13535,0.9197,1.69986,12.73626
2024-09-17,1.81403,1.07192,1.05924,1.3954,13.453
2024-09-18,2.19459,1.40809,1.12901,1.84574,17.18254
2024-09-19,2.92401,1.68083,1.58569,1.47786,38.08194
2024-09-20,2.7591,1.53494,1.37003,1.49054,30.88925
2024-09-21,2.19459,1.23049,1.23049,1.26855,16.54826
2024-09-22,2.47367,1.53494,2.39122,1.55397,17.27768
2024-09-23,3.15869,1.59203,2.6703,1.41443,35.68438
2024-09-24,3.68514,1.64911,2.15653,1.23049,33.14727
2024-09-25,3.15235,1.47786,1.92185,1.17341,33.59127
2024-09-26,3.21578,1.56666,1.86477,1.21146,29.76658
2024-09-27,3.06989,1.4842,1.64277,1.24318,26.2844
2024-09-28,2.34047,1.44614,1.49054,1.351,15.03234
2024-09-29,2.54979,1.44614,1.17975,1.7062,15.78713
2024-09-30,2.72738,1.31295,2.07408,1.351,34.02258
2024-10-01,2.18191,1.4398,2.05505,1.24952,20.25878
2024-10-02,2.4927,1.30026,2.00431,1.18609,29.64607
2024-10-03,2.25802,1.351,1.23049,1.40809,16.93517
2024-10-04,2.39756,1.46517,1.6618,1.05289,27.81301
2024-10-05,1.99162,1.15438,1.19243,1.21146,15.16554
2024-10-06,2.12482,1.4398,1.42712,1.26855,14.88012
2024-10-07,2.90498,1.31295,1.90282,1.15438,32.80476
2024-10-08,2.77178,1.64911,1.68717,1.23683,28.13015
2024-10-09,2.68298,1.26855,1.60471,1.45883,18.37498
2024-10-10,2.94938,1.42077,1.59203,1.40175,31.60598
2024-10-11,2.72738,1.53494,1.32563,1.06558,28.77077
2024-10-12,2.15019,1.20512,1.10998,1.22415,16.08524
2024-10-13,2.21996,1.34466,1.37003,1.20512,16.0789
2024-10-14,2.83521,1.49054,1.80768,1.19243,35.63364
2024-10-15,2.95572,1.55397,1.73157,1.16706,33.1219
2024-10-16,2.99378,1.44614,1.76328,1.09729,37.61892
2024-10-17,2.77813,1.45249,1.67448,1.72523,38.88747
2024-10-18,2.57516,1.351,1.573,1.75694,32.50031
2024-10-19,2.30876,1.14804,1.23683,1.50957,16.49118
2024-10-20,1.92185,1.32563,1.30026,1.47786,16.70049
2024-10-21,2.73373,1.52226,1.89648,1.44614,36.02689
2024-10-22,2.66396,1.72523,1.99797,1.47152,31.5933
2024-10-23,3.04452,1.56031,1.87745,1.31929,29.98224
2024-10-24,2.76544,1.54763,1.85842,1.45883,29.17036
2024-10-25,2.82252,1.45883,1.50957,1.14169,28.257
2024-10-26,2.11848,1.07192,1.17975,1.28758,16.0789
2024-10-27,2.19459,1.29392,1.14804,1.31929,15.78713
2024-10-28,3.07624,1.42712,1.80768,1.32563,32.36077
2024-10-29,3.01281,1.53494,1.61106,1.23049,30.42623
2024-10-30,3.20943,1.54763,1.69986,1.28123,29.22745
2024-10-31,2.91767,1.63009,1.56031,1.37637,28.30775
2024-11-01,2.63224,1.29392,1.3066,1.42712,25.44082
2024-11-02,1.99797,1.11632,0.95775,1.34466,14.77863
2024-11-03,2.00431,1.26855,1.00215,1.82671,15.84422
2024-11-04,2.72738,1.50957,1.51592,1.49689,31.4157
2024-11-05,2.7591,1.60471,1.4842,1.42712,29.81098
2024-11-06,2.49904,1.40809,1.30026,1.38906,30.29937
2024-11-07,2.83521,1.29392,1.54129,1.60471,28.82785
2024-11-08,2.41024,1.46517,1.25586,1.43346,26.39223
2024-11-09,2.00431,1.21146,1.04655,1.50323,15.79982
2024-11-10,2.15019,1.41443,1.05289,1.73791,17.29037
2024-11-11,2.91767,1.5286,1.80134,1.37637,36.77533
2024-11-12,2.93035,1.5286,1.55397,1.24318,34.56171
2024-11-13,2.7591,1.50323,1.23049,1.37637,30.97805
2024-11-14,2.68298,1.54763,1.573,1.42077,30.85119
2024-11-15,2.8479,1.33832,1.31295,1.22415,28.3014
2024-11-16,2.13751,1.00849,0.93872,1.24952,16.0789
2024-11-17,2.16288,1.02752,1.04655,1.36369,15.97107
2024-11-18,2.48636,1.3954,1.6174,1.23049,32.34174
2024-11-19,2.65127,1.20512,1.63009,1.19878,30.7624
2024-11-20,2.50539,1.40809,1.63009,1.50323,30.74971
