날짜,취업,스트레스,결혼
2024-07-14,15.25974,23.37662,42.04545
2024-07-15,26.94805,33.92857,59.90259
2024-07-16,20.94155,31.16883,56.00649
2024-07-17,18.9935,34.90259,39.28571
2024-07-18,16.72077,34.41558,42.85714
2024-07-19,15.90909,30.68181,35.55194
2024-07-20,13.31168,22.88961,34.25324
2024-07-21,15.74675,25.0,34.90259
2024-07-22,26.94805,31.65584,57.14285
2024-07-23,23.53896,31.00649,48.53896
2024-07-24,17.37012,31.33116,38.47402
2024-07-25,21.42857,32.7922,44.80519
2024-07-26,17.53246,29.54545,45.12987
2024-07-27,14.12337,28.40909,36.85064
2024-07-28,14.28571,25.81168,37.33766
2024-07-29,19.64285,27.5974,48.05194
2024-07-30,19.48051,25.81168,44.80519
2024-07-31,19.48051,20.45454,39.44805
2024-08-01,19.64285,28.08441,32.95454
2024-08-02,12.82467,24.67532,39.28571
2024-08-03,12.5,18.66883,35.38961
2024-08-04,14.61038,21.75324,44.15584
2024-08-05,25.16233,29.05844,49.18831
2024-08-06,24.83766,29.38311,34.41558
2024-08-07,21.26623,30.1948,34.25324
2024-08-08,22.07792,30.84415,36.68831
2024-08-09,18.66883,31.81818,38.31168
2024-08-10,11.36363,21.91558,33.92857
2024-08-11,13.31168,20.77922,40.42207
2024-08-12,23.86363,31.98051,54.70779
2024-08-13,25.48701,31.16883,68.9935
2024-08-14,22.40259,30.68181,43.34415
2024-08-15,12.01298,26.94805,40.58441
2024-08-16,17.6948,26.13636,68.50649
2024-08-17,13.31168,22.24025,43.18181
2024-08-18,14.44805,22.72727,40.90909
2024-08-19,35.06493,32.46753,68.34415
2024-08-20,30.35714,40.42207,65.90909
2024-08-21,26.62337,35.87662,45.45454
2024-08-22,22.40259,40.0974,52.11038
2024-08-23,18.83116,34.74025,49.51298
2024-08-24,15.0974,25.97402,47.24025
2024-08-25,14.44805,22.07792,50.48701
2024-08-26,29.38311,32.30519,72.24025
2024-08-27,27.43506,34.90259,69.64285
2024-08-28,23.70129,40.58441,71.91558
2024-08-29,25.81168,33.44155,67.6948
2024-08-30,23.05194,37.82467,52.75974
2024-08-31,13.7987,22.72727,41.88311
2024-09-01,19.64285,21.42857,57.46753
2024-09-02,24.35064,41.23376,66.23376
2024-09-03,27.43506,40.58441,61.68831
2024-09-04,28.08441,41.23376,44.80519
