날짜,스트레스,시험
2016-01-01,69.85788,14.57364
2016-02-01,62.36434,11.84754
2016-03-01,86.51162,20.19379
2016-04-01,83.92764,65.49095
2016-05-01,100.0,32.81653
2016-06-01,88.03617,52.3385
2016-07-01,64.52196,36.7571
2016-08-01,64.98708,14.26356
2016-09-01,80.67183,22.98449
2016-10-01,89.2248,43.33333
2016-11-01,87.76485,26.86046
2016-12-01,62.1447,33.42377
2017-01-01,52.93281,12.31266
2017-02-01,48.46253,9.68992
2017-03-01,69.17312,16.83462
2017-04-01,76.8217,58.15245
2017-05-01,81.47286,22.68733
2017-06-01,78.55297,39.43152
2017-07-01,55.82687,30.09043
2017-08-01,58.86304,15.12919
2017-09-01,72.26098,29.04392
2017-10-01,74.13436,30.89147
2017-11-01,73.02325,25.54263
2017-12-01,61.79586,29.21188
2018-01-01,55.87855,11.13695
2018-02-01,46.87338,8.9664
2018-03-01,66.11111,16.11111
2018-04-01,72.0801,50.65891
2018-05-01,80.67183,22.82945
2018-06-01,69.89664,30.98191
2018-07-01,49.4186,27.97157
2018-08-01,50.89147,14.354
2018-09-01,63.11369,20.27131
2018-10-01,74.08268,33.66925
2018-11-01,85.65891,23.63049
2018-12-01,59.9354,24.53488
2019-01-01,48.60465,10.49095
2019-02-01,37.76485,9.66408
2019-03-01,64.05684,15.64599
2019-04-01,71.40826,47.0801
2019-05-01,80.80103,20.45219
2019-06-01,71.13695,31.48578
2019-07-01,51.03359,22.09302
2019-08-01,48.87596,13.51421
2019-09-01,63.21705,21.27906
2019-10-01,70.72351,29.98708
2019-11-01,67.93281,21.33074
2019-12-01,52.18346,22.45478
2020-01-01,37.89405,9.63824
2020-02-01,43.17829,15.93023
2020-03-01,64.677,18.32041
2020-04-01,75.72351,35.37467
2020-05-01,87.75193,49.56072
2020-06-01,92.44186,53.56589
2020-07-01,69.90956,42.41602
2020-08-01,57.4031,33.82428
2020-09-01,67.72609,23.9018
2020-10-01,70.62015,39.18604
2020-11-01,74.031,30.74935
2020-12-01,65.60723,45.46511
2021-01-01,49.23772,15.25839
2021-02-01,43.37209,13.17829
2021-03-01,67.85529,21.8217
2021-04-01,72.00258,49.89664
2021-05-01,76.34366,26.67958
2021-06-01,72.31266,40.67183
2021-07-01,52.57105,23.44961
2021-08-01,52.91989,18.32041
2021-09-01,62.05426,20.34883
2021-10-01,65.65891,37.15762
2021-11-01,61.51162,26.9509
2021-12-01,49.57364,26.12403
2022-01-01,41.98966,10.55555
2022-02-01,39.40568,10.91731
2022-03-01,58.66925,16.60206
2022-04-01,63.59173,44.59948
2022-05-01,73.35917,20.81395
2022-06-01,64.76744,34.39276
2022-07-01,50.60723,20.03875
2022-08-01,44.65116,12.11886
2022-09-01,54.26356,17.97157
2022-10-01,61.4341,31.55038
2022-11-01,58.66925,22.85529
2022-12-01,46.77002,22.85529
2023-01-01,36.93798,10.60723
2023-02-01,37.68733,8.73385
2023-03-01,59.14728,15.05167
2023-04-01,59.36692,35.49095
2023-05-01,66.29198,18.02325
2023-06-01,61.00775,33.35917
2023-07-01,47.66149,16.26614
2023-08-01,46.14987,10.55555
2023-09-01,50.41343,16.3049
2023-10-01,52.1447,21.93798
2023-11-01,52.23514,17.10594
2023-12-01,40.56847,16.66666
2024-01-01,32.37726,8.60465
2024-02-01,31.60206,8.12661
2024-03-01,49.2248,11.87338
2024-04-01,52.64857,24.05684
2024-05-01,59.71576,13.10077
2024-06-01,49.00516,17.0801
2024-07-01,43.42377,14.4832
2024-08-01,39.354,8.28165
2024-09-01,42.1447,11.96382
2024-10-01,44.677,17.76485
2024-11-01,40.27131,12.50645
2024-12-01,32.18346,12.90697
2025-01-01,25.32299,5.46511
2025-02-01,26.11111,5.58139
2025-03-01,36.48578,8.10077
2025-04-01,34.83204,18.07493
2025-05-01,35.90439,7.51937
2025-06-01,29.75452,12.17054
