날짜,스트레스,취업
2021-03-01,34.69387,47.95918
2021-03-02,34.69387,77.55102
2021-03-03,32.65306,62.24489
2021-03-04,37.7551,61.22448
2021-03-05,28.57142,38.77551
2021-03-06,19.38775,30.61224
2021-03-07,28.57142,58.16326
2021-03-08,35.71428,100.0
2021-03-09,35.71428,73.46938
2021-03-10,35.71428,77.55102
2021-03-11,36.73469,52.04081
2021-03-12,25.5102,53.06122
2021-03-13,15.30612,32.65306
2021-03-14,25.5102,33.67346
2021-03-15,39.79591,61.22448
2021-03-16,39.79591,64.28571
2021-03-17,35.71428,58.16326
2021-03-18,39.79591,57.14285
2021-03-19,24.48979,52.04081
2021-03-20,28.57142,47.95918
2021-03-21,17.34693,51.0204
2021-03-22,40.81632,72.44897
2021-03-23,36.73469,66.32653
2021-03-24,24.48979,61.22448
2021-03-25,30.61224,44.89795
2021-03-26,46.93877,50.0
2021-03-27,21.42857,46.93877
2021-03-28,18.36734,37.7551
2021-03-29,34.69387,50.0
2021-03-30,31.63265,60.20408
2021-03-31,28.57142,61.22448
2021-04-01,32.65306,70.40816
2021-04-02,25.5102,45.91836
2021-04-03,25.5102,46.93877
2021-04-04,19.38775,52.04081
2021-04-05,32.65306,66.32653
2021-04-06,45.91836,56.12244
2021-04-07,28.57142,53.06122
2021-04-08,31.63265,40.81632
2021-04-09,27.55102,41.83673
2021-04-10,17.34693,36.73469
2021-04-11,27.55102,37.7551
2021-04-12,28.57142,56.12244
2021-04-13,28.57142,46.93877
2021-04-14,38.77551,57.14285
2021-04-15,28.57142,54.08163
2021-04-16,37.7551,31.63265
2021-04-17,19.38775,34.69387
2021-04-18,20.40816,36.73469
2021-04-19,38.77551,62.24489
2021-04-20,40.81632,73.46938
2021-04-21,31.63265,55.10204
2021-04-22,31.63265,57.14285
2021-04-23,34.69387,40.81632
2021-04-24,32.65306,27.55102
2021-04-25,19.38775,28.57142
2021-04-26,29.59183,44.89795
2021-04-27,42.85714,41.83673
2021-04-28,27.55102,43.87755
2021-04-29,26.53061,59.18367
2021-04-30,31.63265,40.81632
2021-05-01,19.38775,34.69387
2021-05-02,21.42857,31.63265
2021-05-03,29.59183,62.24489
2021-05-04,27.55102,32.65306
2021-05-05,26.53061,32.65306
2021-05-06,39.79591,64.28571
2021-05-07,26.53061,34.69387
2021-05-08,21.42857,30.61224
2021-05-09,23.46938,44.89795
2021-05-10,24.48979,43.87755
2021-05-11,38.77551,69.38775
2021-05-12,31.63265,62.24489
2021-05-13,34.69387,58.16326
2021-05-14,29.59183,48.97959
2021-05-15,20.40816,43.87755
2021-05-16,18.36734,29.59183
2021-05-17,33.67346,47.95918
2021-05-18,20.40816,39.79591
2021-05-19,24.48979,36.73469
2021-05-20,35.71428,56.12244
2021-05-21,35.71428,44.89795
2021-05-22,23.46938,28.57142
2021-05-23,19.38775,40.81632
2021-05-24,35.71428,56.12244
2021-05-25,34.69387,57.14285
2021-05-26,46.93877,60.20408
2021-05-27,22.44897,52.04081
2021-05-28,25.5102,48.97959
2021-05-29,24.48979,26.53061
2021-05-30,19.38775,26.53061
2021-05-31,39.79591,43.87755
2021-06-01,36.73469,59.18367
2021-06-02,35.71428,38.77551
2021-06-03,38.77551,40.81632
2021-06-04,24.48979,46.93877
2021-06-05,18.36734,29.59183
2021-06-06,19.38775,40.81632
2021-06-07,32.65306,71.42857
2021-06-08,47.95918,68.36734
2021-06-09,38.77551,50.0
2021-06-10,34.69387,41.83673
2021-06-11,27.55102,51.0204
2021-06-12,25.5102,28.57142
2021-06-13,25.5102,27.55102
2021-06-14,37.7551,51.0204
2021-06-15,26.53061,52.04081
2021-06-16,34.69387,54.08163
2021-06-17,30.61224,54.08163
2021-06-18,32.65306,35.71428
2021-06-19,31.63265,29.59183
2021-06-20,35.71428,23.46938
2021-06-21,30.61224,45.91836
2021-06-22,31.63265,56.12244
2021-06-23,37.7551,62.24489
2021-06-24,29.59183,45.91836
