날짜,스트레스,취업
2024-07-14,74.22178,47.85992
2024-07-15,93.19066,70.13618
2024-07-16,96.6926,66.14785
2024-07-17,93.77431,63.22957
2024-07-18,90.5642,56.71206
2024-07-19,78.30739,50.68093
2024-07-20,66.73151,47.95719
2024-07-21,76.55642,57.19844
2024-07-22,90.36964,78.01556
2024-07-23,95.13618,65.66147
2024-07-24,83.1712,60.40856
2024-07-25,88.13229,62.45136
2024-07-26,80.54474,52.0428
2024-07-27,64.20233,43.48249
2024-07-28,67.12062,47.76264
2024-07-29,71.78988,60.70038
2024-07-30,75.97276,61.96498
2024-07-31,66.73151,56.71206
2024-08-01,72.56809,56.22568
2024-08-02,68.67704,50.29182
2024-08-03,58.56031,42.31517
2024-08-04,64.29961,44.84435
2024-08-05,72.37354,68.67704
2024-08-06,75.77821,64.10505
2024-08-07,71.98443,61.18677
2024-08-08,70.71984,61.08949
2024-08-09,74.31906,53.59922
2024-08-10,69.45525,44.74708
2024-08-11,65.27237,44.94163
2024-08-12,75.09727,68.09338
2024-08-13,77.23735,66.05058
2024-08-14,79.86381,60.70038
2024-08-15,70.81712,49.41634
2024-08-16,71.88715,57.58754
2024-08-17,64.49416,42.70428
2024-08-18,66.73151,50.3891
2024-08-19,81.5175,85.60311
2024-08-20,94.55252,81.03112
2024-08-21,88.81322,76.94552
2024-08-22,92.70428,68.77431
2024-08-23,82.00389,61.28404
2024-08-24,70.81712,43.09338
2024-08-25,65.27237,52.62645
2024-08-26,90.46692,75.68093
2024-08-27,86.8677,80.93385
2024-08-28,86.08949,79.96108
2024-08-29,83.65758,73.24902
2024-08-30,85.99221,65.85603
2024-08-31,67.607,49.41634
2024-09-01,70.71984,53.98832
2024-09-02,95.03891,80.73929
2024-09-03,97.27626,76.75097
2024-09-04,93.67704,75.68093
2024-09-05,90.5642,69.6498
2024-09-06,85.89494,61.67315
2024-09-07,64.68871,44.55252
2024-09-08,71.98443,52.4319
2024-09-09,87.93774,75.97276
2024-09-10,85.99221,72.27626
2024-09-11,90.07782,70.62256
2024-09-12,83.07392,58.07392
2024-09-13,72.47081,50.19455
2024-09-14,59.33852,34.72762
2024-09-15,57.87937,39.39688
2024-09-16,56.80933,39.00778
2024-09-17,57.68482,43.38521
2024-09-18,67.21789,49.61089
2024-09-19,80.64202,80.83657
2024-09-20,79.57198,62.93774
2024-09-21,65.9533,42.9961
2024-09-22,70.33073,47.66536
2024-09-23,83.85214,73.7354
2024-09-24,88.32684,80.35019
2024-09-25,86.38132,67.12062
2024-09-26,82.68482,64.39688
2024-09-27,79.86381,55.35019
2024-09-28,65.9533,44.74708
2024-09-29,68.67704,43.67704
2024-09-30,74.80544,67.41245
2024-10-01,64.39688,53.50194
2024-10-02,72.27626,64.20233
2024-10-03,63.81322,42.9961
2024-10-04,68.48249,53.59922
2024-10-05,60.11673,47.66536
2024-10-06,64.39688,46.3035
2024-10-07,81.03112,75.58365
2024-10-08,81.32295,66.14785
2024-10-09,73.05447,53.98832
2024-10-10,82.49027,67.02334
2024-10-11,78.21011,61.28404
2024-10-12,61.77042,43.87159
2024-10-13,64.49416,46.49805
2024-10-14,80.73929,65.66147
2024-10-15,80.54474,65.75875
2024-10-16,85.50583,72.85992
2024-10-17,82.00389,67.41245
2024-10-18,71.3035,60.89494
2024-10-19,65.36964,46.6926
2024-10-20,62.54863,45.42801
2024-10-21,81.80933,65.36964
2024-10-22,77.72373,73.44357
2024-10-23,84.14396,70.23346
2024-10-24,75.48638,59.24124
2024-10-25,79.86381,53.21011
2024-10-26,63.61867,42.89883
2024-10-27,61.67315,49.41634
2024-10-28,85.99221,67.12062
2024-10-29,82.68482,75.0
2024-10-30,82.49027,65.27237
2024-10-31,77.0428,65.9533
2024-11-01,71.20622,61.96498
2024-11-02,57.87937,47.17898
2024-11-03,60.99221,48.83268
2024-11-04,77.33463,73.3463
2024-11-05,74.22178,75.97276
2024-11-06,74.61089,70.03891
2024-11-07,76.65369,68.96887
2024-11-08,66.14785,59.92217
2024-11-09,60.89494,42.70428
2024-11-10,64.39688,48.92996
2024-11-11,78.40466,70.91439
2024-11-12,78.69649,76.07003
